<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,09/10/18,13:26,116100.0,116110.0,116030.0,116040.0,714
SPFB.RTS-12.18,1,09/10/18,13:27,116040.0,116090.0,116010.0,116080.0,426
SPFB.RTS-12.18,1,09/10/18,13:28,116070.0,116100.0,116040.0,116070.0,247
SPFB.RTS-12.18,1,09/10/18,13:29,116070.0,116130.0,116070.0,116130.0,482
SPFB.RTS-12.18,1,09/10/18,13:30,116120.0,116150.0,116090.0,116150.0,223
SPFB.RTS-12.18,1,09/10/18,13:31,116140.0,116140.0,116020.0,116050.0,876
SPFB.RTS-12.18,1,09/10/18,13:32,116070.0,116130.0,116070.0,116120.0,230
SPFB.RTS-12.18,1,09/10/18,13:33,116120.0,116130.0,116080.0,116100.0,184
SPFB.RTS-12.18,1,09/10/18,13:34,116100.0,116100.0,116050.0,116060.0,203
SPFB.RTS-12.18,1,09/10/18,13:35,116070.0,116220.0,116070.0,116200.0,793
SPFB.RTS-12.18,1,09/10/18,13:36,116180.0,116240.0,116170.0,116200.0,664
SPFB.RTS-12.18,1,09/10/18,13:37,116190.0,116220.0,116150.0,116150.0,280
SPFB.RTS-12.18,1,09/10/18,13:38,116150.0,116200.0,116130.0,116190.0,203
SPFB.RTS-12.18,1,09/10/18,13:39,116170.0,116220.0,116110.0,116160.0,268
SPFB.RTS-12.18,1,09/10/18,13:40,116160.0,116210.0,116150.0,116180.0,189
SPFB.RTS-12.18,1,09/10/18,13:41,116170.0,116210.0,116160.0,116180.0,116
SPFB.RTS-12.18,1,09/10/18,13:42,116200.0,116230.0,116170.0,116190.0,94
SPFB.RTS-12.18,1,09/10/18,13:43,116200.0,116230.0,116170.0,116170.0,687
SPFB.RTS-12.18,1,09/10/18,13:44,116170.0,116170.0,116110.0,116160.0,400
SPFB.RTS-12.18,1,09/10/18,13:45,116180.0,116200.0,116160.0,116160.0,136
SPFB.RTS-12.18,1,09/10/18,13:46,116150.0,116300.0,116150.0,116290.0,898
SPFB.RTS-12.18,1,09/10/18,13:47,116290.0,116310.0,116260.0,116290.0,268
SPFB.RTS-12.18,1,09/10/18,13:48,116300.0,116360.0,116280.0,116360.0,574
SPFB.RTS-12.18,1,09/10/18,13:49,116350.0,116360.0,116290.0,116330.0,294
SPFB.RTS-12.18,1,09/10/18,13:50,116350.0,116380.0,116320.0,116370.0,349
SPFB.RTS-12.18,1,09/10/18,13:51,116370.0,116420.0,116340.0,116350.0,1092
SPFB.RTS-12.18,1,09/10/18,13:52,116370.0,116410.0,116350.0,116400.0,299
SPFB.RTS-12.18,1,09/10/18,13:53,116410.0,116460.0,116390.0,116440.0,469
SPFB.RTS-12.18,1,09/10/18,13:54,116440.0,116460.0,116400.0,116410.0,346
SPFB.RTS-12.18,1,09/10/18,13:55,116410.0,116480.0,116410.0,116460.0,277
SPFB.RTS-12.18,1,09/10/18,13:56,116450.0,116450.0,116380.0,116380.0,415
SPFB.RTS-12.18,1,09/10/18,13:57,116390.0,116400.0,116360.0,116360.0,291
SPFB.RTS-12.18,1,09/10/18,13:58,116360.0,116440.0,116360.0,116370.0,246
SPFB.RTS-12.18,1,09/10/18,13:59,116380.0,116380.0,116360.0,116360.0,73
SPFB.RTS-12.18,1,09/10/18,14:00,116380.0,116430.0,116370.0,116430.0,174
SPFB.RTS-12.18,1,09/10/18,14:06,116410.0,116420.0,116270.0,116300.0,875
SPFB.RTS-12.18,1,09/10/18,14:07,116300.0,116330.0,116280.0,116320.0,294
SPFB.RTS-12.18,1,09/10/18,14:08,116300.0,116310.0,116240.0,116270.0,346
SPFB.RTS-12.18,1,09/10/18,14:09,116260.0,116260.0,116130.0,116190.0,1022
SPFB.RTS-12.18,1,09/10/18,14:10,116190.0,116270.0,116180.0,116240.0,388
SPFB.RTS-12.18,1,09/10/18,14:11,116240.0,116270.0,116190.0,116210.0,364
SPFB.RTS-12.18,1,09/10/18,14:12,116210.0,116230.0,116150.0,116180.0,391
SPFB.RTS-12.18,1,09/10/18,14:13,116170.0,116190.0,116140.0,116160.0,259
SPFB.RTS-12.18,1,09/10/18,14:14,116140.0,116220.0,116130.0,116180.0,238
SPFB.RTS-12.18,1,09/10/18,14:15,116180.0,116190.0,116060.0,116080.0,818
SPFB.RTS-12.18,1,09/10/18,14:16,116090.0,116090.0,116000.0,116010.0,818
SPFB.RTS-12.18,1,09/10/18,14:17,116020.0,116030.0,115870.0,115920.0,1978
SPFB.RTS-12.18,1,09/10/18,14:18,115920.0,115960.0,115900.0,115940.0,762
SPFB.RTS-12.18,1,09/10/18,14:19,115950.0,115960.0,115910.0,115960.0,598
SPFB.RTS-12.18,1,09/10/18,14:20,115960.0,115960.0,115900.0,115930.0,424
SPFB.RTS-12.18,1,09/10/18,14:21,115920.0,115940.0,115760.0,115770.0,2043
SPFB.RTS-12.18,1,09/10/18,14:22,115770.0,115800.0,115720.0,115730.0,1382
SPFB.RTS-12.18,1,09/10/18,14:23,115730.0,115760.0,115640.0,115690.0,1497
SPFB.RTS-12.18,1,09/10/18,14:24,115690.0,115720.0,115650.0,115650.0,851
SPFB.RTS-12.18,1,09/10/18,14:25,115650.0,115740.0,115640.0,115730.0,960
SPFB.RTS-12.18,1,09/10/18,14:26,115730.0,115740.0,115640.0,115640.0,615
SPFB.RTS-12.18,1,09/10/18,14:27,115660.0,115690.0,115600.0,115680.0,1246
SPFB.RTS-12.18,1,09/10/18,14:28,115680.0,115700.0,115660.0,115700.0,303
SPFB.RTS-12.18,1,09/10/18,14:29,115690.0,115740.0,115690.0,115710.0,809
SPFB.RTS-12.18,1,09/10/18,14:30,115690.0,115730.0,115680.0,115700.0,527
SPFB.RTS-12.18,1,09/10/18,14:31,115690.0,115710.0,115630.0,115710.0,688
SPFB.RTS-12.18,1,09/10/18,14:32,115710.0,115730.0,115640.0,115650.0,751
SPFB.RTS-12.18,1,09/10/18,14:33,115660.0,115700.0,115640.0,115640.0,788
SPFB.RTS-12.18,1,09/10/18,14:34,115650.0,115660.0,115620.0,115620.0,572
SPFB.RTS-12.18,1,09/10/18,14:35,115630.0,115640.0,115600.0,115620.0,851
SPFB.RTS-12.18,1,09/10/18,14:36,115620.0,115640.0,115610.0,115610.0,367
SPFB.RTS-12.18,1,09/10/18,14:37,115620.0,115690.0,115600.0,115630.0,929
SPFB.RTS-12.18,1,09/10/18,14:38,115650.0,115660.0,115610.0,115630.0,388
SPFB.RTS-12.18,1,09/10/18,14:39,115630.0,115670.0,115520.0,115530.0,1822
SPFB.RTS-12.18,1,09/10/18,14:40,115530.0,115590.0,115510.0,115570.0,844
SPFB.RTS-12.18,1,09/10/18,14:41,115580.0,115690.0,115570.0,115680.0,992
SPFB.RTS-12.18,1,09/10/18,14:42,115680.0,115760.0,115650.0,115670.0,1190
SPFB.RTS-12.18,1,09/10/18,14:43,115660.0,115660.0,115610.0,115620.0,407
SPFB.RTS-12.18,1,09/10/18,14:44,115620.0,115620.0,115460.0,115550.0,1962
SPFB.RTS-12.18,1,09/10/18,14:45,115560.0,115610.0,115520.0,115520.0,509
SPFB.RTS-12.18,1,09/10/18,14:46,115510.0,115540.0,115490.0,115540.0,546
SPFB.RTS-12.18,1,09/10/18,14:47,115550.0,115660.0,115490.0,115640.0,1201
SPFB.RTS-12.18,1,09/10/18,14:48,115640.0,115650.0,115610.0,115610.0,339
SPFB.RTS-12.18,1,09/10/18,14:49,115610.0,115640.0,115570.0,115590.0,283
SPFB.RTS-12.18,1,09/10/18,14:50,115600.0,115640.0,115550.0,115580.0,468
SPFB.RTS-12.18,1,09/10/18,14:51,115590.0,115620.0,115540.0,115550.0,272
SPFB.RTS-12.18,1,09/10/18,14:52,115550.0,115580.0,115490.0,115570.0,548
SPFB.RTS-12.18,1,09/10/18,14:53,115550.0,115650.0,115530.0,115630.0,293
SPFB.RTS-12.18,1,09/10/18,14:54,115640.0,115650.0,115600.0,115600.0,355
SPFB.RTS-12.18,1,09/10/18,14:55,115600.0,115680.0,115590.0,115650.0,468
SPFB.RTS-12.18,1,09/10/18,14:56,115650.0,115660.0,115510.0,115580.0,754
SPFB.RTS-12.18,1,09/10/18,14:57,115570.0,115590.0,115490.0,115580.0,807
